ID;S1_Temp;S2_Temp;S3_Temp;S4_Temp;S1_Light;S2_Light;S3_Light;S4_Light;S1_Sound;S2_Sound;S3_Sound;S4_Sound;S5_CO2;S5_CO2_Slope;S6_PIR;S7_PIR;Room_Occupancy_Count
0;2519~2525;2519;2488~2494;2575~2581;13;14;57~59;41;7~15;4~12;7~11;6~10;355;-53846~0;0;0;0
1;2544;2544;2506~2513;2594;0;0;0;0;7~8;5;5~6;9~10;350~355;-134615~-96153;0;0;0
2;2525~2531;2494~2500;2475~2481;2563~2575;123~124;35~37;60~64;46~49;35~110;5~27;5~24;5~13;430~450;738461~1200000;0~1;0;1
3;2506~2513;2506;2450~2456;2519;0;0;0;0;7~8;4~5;5;9~10;345;0;0;0;0
4;2613~2619;2581~2588;2569;2631~2638;117~118;22~23;186~191;10~13;84~294;56~74;73~262;37~55;655~730;2403846~3219230;0~1;0~1;2
5;2544;2544~2550;2494~2500;2575;0;0;0;0;6~7;5;6;7;365~385;-103846~0;0;0;0
6;2525~2531;2531~2538;2494;2538~2544;0;0;0;0;8~16;4~5;5~6;8~9;345~355;-46153~0;0;0;0
7;2531~2538;2531;2488;2569~2575;0;0;0;0;8;4~5;6;9~10;355;0;0;0;0
8;2625~2631;2631~2813;2594~2613;2638~2644;142~149;227~235;173~178;10;61~97;14~22;16~35;11~21;920~1250;992307~4173076;0~1;0~1;3
9;2519;2525;2469;2550~2556;0;0;0;0;6~7;4~5;6;5~8;360;-80769~0;0;0;0
10;2525~2531;2525~2531;2475;2563;0;0;0;0;8;4~5;7;9~11;355;0;0;0;0
11;2544;2544;2519;2600~2606;0;0;0;0;7~8;5;7;9~10;350~355;3846~211538;0;0;0
12;2581~2600;2600~2625;2556~2569;2581~2594;0;0;0;0;8~65;5;6;9~10;780~850;-2057692~992307;0;0;0
13;2519~2531;2525~2538;2469~2475;2550~2563;0;0;0;0;6~7;5;7;5~6;365;-65384~-11538;0;0;0
14;2544;2538~2544;2500;2563~2569;0;0;0;0;6~7;4~5;5~6;6;370~375;0;0;0;0
15;2613;2581~2619;2550~2563;2625~2631;119;24;191~202;13~19;62~159;11~40;11~271;9~56;560~650;869230~2700000;0~1;0~1;2
16;2506;2513;2450~2456;2538~2544;4~5;4~5;19~23;13~15;7;4~5;6;6;360;11538~46153;0;0;0
17;2531~2538;2538~2544;2494;2581;0;0;0;0;7;4~5;5~6;9~10;355;0;0;0;0
18;2506;2500~2506;2444~2456;2525~2531;1~2;1~2;7~12;5~7;7~8;5~6;7;5~9;350~355;0~30769;0;0;0
19;2538;2538~2544;2500~2513;2594;0;0;0;0;8;5;7~8;9~11;350~355;-169230~0;0;0;0
20;2506;2506;2450~2456;2513;1;1;8~10;5~6;7~8;4~6;5~6;7~8;345;0;0;0;0
21;2513;2519;2463;2525~2531;0;0;0;0;7~8;4~5;5~6;8;345;0;0;0;0
22;2575~2581;2600~2606;2569;2581~2588;5;5~7;21~23;18~21;8~16;5~14;6~24;8~25;580~635;2661538~3630769;0~1;0~1;3
23;2506~2513;2506~2513;2469~2475;2563~2569;9~10;10;43~48;29~33;7~8;6;6~8;6~10;355~360;-165384~130769;0;0;0
24;2513;2513;2469~2475;2563~2569;9~10;10~11;45~49;30~33;8;5;7;5~7;355~360;-130769~134615;0;0;0
25;2525~2531;2525~2531;2469~2481;2538~2563;0;0;0;0;6~7;6;5~6;7~10;345~360;0;0;0;0
26;2538;2538;2494~2500;2588;0;0;0;0;6~9;4~5;7;6~10;355~375;-288461~0;0;0;0
27;2506;2506;2456~2463;2513~2525;5;5;28~29;20;7~8;5;6;10~12;350;0;0;0;0
28;2513;2513;2463;2519;0;0;0;0;7~8;5;5~6;8;345;0;0;0;0
29;2544~2563;2544~2563;2525;2563~2606;0;0;0;0;8;4~5;5~6;6~9;350~545;-1880769~0;0;0;0
30;2588~2606;2588~2706;2544~2569;2625~2638;119~160;34~248;70~75;45~57;6~26;5~15;5~6;6~11;580~610;-2703846~1619230;0~1;0;1
31;2519~2525;2525;2475;2563;0;0;0;0;7;4~5;6;9~11;355;0;0;0;0
32;2544;2544~2550;2531~2538;2606~2613;1~3;1~3;7~15;5~11;7~8;4~5;7;9~11;350~355;-26923~11538;0;0;0
33;2506;2500~2506;2444~2450;2538;4~5;4~5;19~24;14~17;8;5;5~6;6~7;360;65384~200000;0;0;0
34;2519~2525;2525;2469;2544~2550;0;0;0;0;7;4~5;5~6;9~10;355;0;0;0;0
35;2550;2544~2556;2513;2563~2575;0;0;0;0;6~7;4~5;5~6;7~10;390~400;-1450000~-1307692;0;0;0
36;2519;2519;2488~2500;2581~2594;13~14;15~16;61~65;44~45;9~16;5~14;6~10;6~10;355~360;-119230~61538;0;0;0
37;2544~2575;2538~2556;2494~2519;2588~2606;124~156;39~249;71~74;52~54;65~153;17~124;20~38;14~30;380~500;161538~2457692;0~1;0~1;2
38;2600~2606;2575;2556~2563;2631;118~119;29;51~54;30~34;8~9;5~6;6~18;6;590~605;219230~1423076;0~1;0;1
39;2556~2563;2556~2563;2513~2519;2569~2581;0;0;0;0;7;4~5;5~6;7;415~500;-2188461~-1469230;0;0;0
40;2538;2538~2544;2500~2506;2594;0;0;0;0;7~8;6;6;9~11;350~355;-173076~0;0;0;0
41;2500~2506;2500~2506;2450~2463;2531;7~8;7~8;36~40;24~27;7~8;4~5;5~6;9~11;355;-238461~0;0~1;0;0
42;2563~2569;2563~2569;2525;2575~2581;0;0;0;0;6~7;4~5;6;6~7;505~550;-2180769~-1965384;0;0;0
43;2500~2506;2500~2506;2463;2544;7~8;8;37~39;24~26;7~8;4~5;5~6;10;355;0;0;0;0
44;2513~2519;2519;2488~2494;2581~2588;13;14~15;57~59;40~41;7~9;4~5;5~6;6~11;355~360;-34615~19230;0;0;0
45;2613;2581~2638;2550~2556;2625~2631;119;24~25;194~206;16~20;67~114;42~78;44~365;36~61;555~585;588461~2126923;0~1;0~1;2
46;2538;2538~2544;2494~2513;2588~2600;0;0;0;0;7~8;5;5~6;11;350~355;-153846~34615;0;0;0
47;2613~2619;2706~2731;2600~2606;2638;163~165;254~256;268~278;72~74;22~152;7~59;11~367;10~41;940~970;1230769~1703846;0~1;0~1;3
48;2519~2525;2525~2531;2475;2556;0;0;0;0;7;4~5;5~6;9~11;355;0;0;0;0
49;2519~2538;2525~2544;2506~2544;2588~2619;14~16;18~20;69~70;50;7~8;4~5;5~7;9~10;355;0;0;0;0
50;2506~2513;2506~2519;2444~2456;2538~2550;0;0;0;0;8~9;5;7;5~6;355~360;-123076~0;0;0;0
51;2506~2513;2506~2513;2469;2519~2525;6;6~7;31~33;20~21;7~8;4~5;5~6;8~9;345;0;0;0;0
52;2519;2519;2488;2581~2588;13;14;59;42~43;8~9;5;6~7;5~9;355~360;-26923~57692;0;0;0
53;2550~2556;2550~2556;2506~2513;2588~2594;0;0;0;0;6~8;5;6;6;390~415;-1665384~-1103846;0;0;0
54;2519~2525;2525~2531;2475;2563;0;0;0;0;6~7;4~5;5~6;5~7;360;-76923~0;0;0;0
55;2544~2550;2550~2556;2506;2588~2594;0;0;0;0;6~7;4~5;6;6~7;390~410;-1046153~-857692;0;0;0
56;2550~2563;2556~2563;2513~2519;2563~2581;0;0;0;0;6~7;4~5;7~8;5~6;420~500;-1946153~-1015384;0;0;0
57;2556~2569;2556~2563;2525~2531;2569~2581;0;0;0;0;8~10;4~5;5~9;6~9;510~565;-2657692~-1919230;0;0;0
58;2506;2506;2450~2456;2506~2513;4~5;5;21~23;15~16;7~8;4~5;5~6;8~9;345;0;0;0;0
59;2525~2531;2525;2475~2481;2563;0;0;0;0;7;4~5;7;9~10;355;0;0;0;0
60;2538;2544;2500~2506;2588;0;0;0;0;8;4~5;5~6;9~10;355;3846~23076;0;0;0
61;2506~2513;2513;2450;2538~2544;1~2;1~2;9~13;5~8;6~7;4~6;7;6~7;355~360;30769~80769;0;0;0
62;2500~2506;2500;2444~2450;2538;3~4;3~4;15~19;11~14;8~9;5;6~7;6;355;-11538~11538;0;0;0
63;2613~2619;2575;2575;2625~2638;116;24~25;181~184;13~14;7~11;5;6~66;6~90;715~730;1719230~1892307;0~1;0~1;2
64;2506~2513;2506~2513;2469~2475;2563~2569;9~10;10;43~48;29~33;7~8;6;6~8;6~10;355~360;-165384~130769;0;0;0
65;2531~2538;2531~2538;2494;2575~2581;0;0;0;0;8;4~5;5~6;10~11;355;0;0;0;0
66;2550;2544~2556;2513~2519;2556~2569;0;0;0;0;7;4~5;5~6;7~9;390~395;-1688461~-1557692;0;0;0
67;2544;2544;2506~2513;2594;0;0;0;0;7~8;4~5;6;9~10;350~355;-92307~-69230;0;0;0
68;2525;2525~2531;2488;2538;0;0;0;0;8;5;5~6;8~9;345;0;0;0;0
69;2550;2550;2506;2563~2569;0;0;0;0;6~7;5;5~6;6;380;-269230~-242307;0;0;0
70;2538;2538;2494~2500;2563~2581;0;0;0;0;6~7;6;7;6~10;355~375;-46153~0;0;0;0
71;2531~2538;2538~2544;2525~2531;2600~2613;19~20;23~24;83~85;59~60;7~11;4~5;5~6;9~11;355;0;0;0;0
72;2538;2538~2544;2538;2606~2619;19;23;83~84;59~60;7~9;5;6~7;9~11;355;0;0;0;0
73;2531;2531;2481~2488;2531~2563;0;0;0;0;6~7;4~5;5~6;7~8;345~360;0;0;0;0
74;2538;2531~2544;2525~2538;2600~2619;10~15;11~19;49~68;35~49;7~8;5;6~7;9~11;355;0;0;0;0
75;2500~2513;2475~2488;2450~2463;2544~2556;121~123;34~35;53~58;40~45;9~43;4~11;6~8;5~13;390~395;-653846~519230;0~1;0;1
76;2513;2513~2519;2456;2550;0;0;0;0;6~7;5;5~6;5~6;355~360;-46153~0;0;0;0
77;2500;2506;2463;2544~2556;8;9;40~41;27~28;7~8;4~5;6;10~11;355;0;0;0;0
78;2519~2525;2525~2531;2475;2563;0;0;0;0;6~7;4~5;5~6;5~7;360;-76923~0;0;0;0
79;2513;2513;2469~2475;2563~2569;9~10;10~11;45~49;30~33;8;5;7;5~7;355~360;-130769~134615;0;0;0
80;2575~2588;2581~2588;2544~2550;2600~2606;0;0;0;0;6~7;4~5;5~6;7~8;720~785;-2423076~-2134615;0;0;0
81;2588~2600;2581~2588;2563;2631;119~120;33~34;65~70;41~44;7~10;5;6~59;6~9;565~580;-1580769~-407692;0~1;0;1
82;2619~2631;2625~2638;2588~2600;2638~2650;148~149;234~235;179~185;10;8~16;5~21;6~182;6~18;920~1030;2503846~3953846;0;0~1;3
83;2513~2519;2513~2519;2481~2494;2569~2581;11~12;13~14;54;39~40;7~8;5;6;6~11;355;-92307~0;0;0;0
84;2544;2544;2519;2600~2606;0;0;0;0;7~8;5;7;9~10;350~355;3846~211538;0;0;0
85;2594~2606;2681;2550~2556;2625~2638;119;22~24;29~40;21~29;19~64;6~10;7~11;6~7;455~495;876923~1630769;0~1;0;1
86;2544;2538~2544;2500~2506;2588~2600;0;0;0;0;8;6;5~6;9~10;355;-107692~0;0;0;0
87;2519~2525;2525~2531;2469;2550~2556;0;0;0;0;8;4~5;5~6;6~9;355~360;-111538~7692;0;0;0
88;2506~2513;2506;2463;2525~2531;6;6;31~32;22;7~8;5~9;5~6;9~11;350;0;0;0;0
89;2531~2538;2531~2544;2494;2575~2581;0;0;0;0;7;4~5;6;6;365~370;-223076~-96153;0;0;0
90;2600~2606;2681;2550~2556;2625~2638;119;22~24;33~39;23~28;7~18;7~12;6~16;6~9;455~485;707692~1415384;0~1;0;1
91;2525;2525~2531;2481~2488;2538;0;0;0;0;7;5;5~6;9;345;0;0;0;0
92;2575~2581;2606;2569;2581~2588;5;5~7;21~24;18~21;17~375;6~15;7~27;9~11;575~630;2673076~3719230;0~1;0~1;3
93;2525~2531;2525~2531;2469~2481;2538~2563;0;0;0;0;6~7;6;5~6;7~10;345~360;0;0;0;0
94;2544~2550;2538~2550;2494~2519;2550~2581;0;0;0;0;8;4~5;5~6;6~8;370~385;-261538~-184615;0;0;0
95;2506~2513;2500~2519;2444~2450;2538;1~2;1~2;7~14;5~9;6~7;5~6;6;6;360;34615~157692;0;0;0
96;2506~2519;2506~2519;2444~2463;2538~2544;0;0;0;0;8~9;5;5~6;5~6;355~360;-84615~3846;0;0;0
97;2500~2506;2500~2506;2450~2463;2531;7~8;7~8;36~40;24~27;7~8;4~5;5~6;9~11;355;-238461~0;0~1;0;0
98;2619~2625;2581;2581~2588;2631;114~116;24;176~178;9~11;7~28;5~23;7~102;6~27;750~810;1173076~2096153;0~1;0~1;2
99;2538;2538~2544;2500~2513;2594;0;0;0;0;8;5;7~8;9~11;350~355;-169230~0;0;0;0
100;2544~2550;2538~2544;2506~2513;2550~2563;0;0;0;0;8~49;4~5;6;9;370~380;-300000~-215384;0;0;0
101;2519~2525;2519;2500;2575~2588;15~16;17~18;67~70;46~49;7~14;6~10;5~13;9~11;355;0;0;0;0
102;2506;2506~2513;2450;2531;0;0;0;0;7~8;5;6;5~7;355~360;-169230~0;0;0;0
103;2525~2531;2525~2531;2469~2481;2556~2563;0;0;0;0;6~7;4~5;7;7;360~365;-61538~73076;0;0;0
104;2575~2600;2581~2613;2544~2569;2588~2613;0;0;0;0;8;4~5;7;6~9;725~975;-3219230~-1280769;0;0;0
105;2575~2600;2581~2613;2544~2569;2588~2613;0;0;0;0;8;4~5;7;6~9;725~975;-3219230~-1280769;0;0;0
106;2581~2594;2688~2700;2550~2556;2625~2631;12~14;12~14;61~68;45~49;7~10;5~12;7~12;6~7;530~630;-3207692~492307;0;0;0
107;2600~2613;2706~2781;2581~2600;2619~2631;163~165;251~255;266~278;69~71;6~17;5~10;6~87;6~12;865~910;930769~1765384;0~1;0~1;3
108;2544~2613;2544~2575;2538~2556;2619~2638;15~115;20~25;38~76;22~56;6~128;5~50;6~28;6~21;355~620;0~600000;0~1;0;1
109;2500~2506;2506;2444;2538;0;0;1~3;1~2;8;5;5~8;5~7;355~360;-11538~46153;0;0;0
110;2500~2506;2506~2513;2463;2525~2531;6~9;7~10;35~44;24~29;7~8;5;5~6;5~6;355~360;-65384~26923;0;0;0
111;2519~2525;2525;2463~2469;2550~2563;0;0;0;0;7;6;6;6;360;0;0;0;0
112;2506;2500~2506;2444~2450;2531;1~2;1~2;9~11;5~7;7~8;5;5~6;6;355;0~15384;0;0;0
113;2563~2569;2563~2569;2525;2575~2581;0;0;0;0;6~7;4~5;6;6~7;505~550;-2180769~-1965384;0;0;0
114;2625~2638;2594~2800;2588~2606;2638~2644;150;238~239;180~181;10~11;8~53;5~14;6~366;6~14;850~1220;-442307~2276923;0~1;0~1;3
115;2513;2519;2463;2525~2531;0;0;0;0;7~8;4~5;5~6;8;345;0;0;0;0
116;2544;2538~2544;2500~2506;2594;0;0;0;0;7~8;4~5;5~6;9~10;355;-61538~0;0;0;0
117;2531~2538;2531~2538;2481~2488;2569~2575;0;0;0;0;6~7;4~5;7;5~6;370;-188461~0;0;0;0
118;2531;2525~2531;2475~2481;2569;0;0;0;0;6~7;4~5;5~6;6;360~365;0;0;0;0
119;2581~2613;2581~2588;2556~2569;2631~2638;14~118;17~35;54~192;14~50;6~21;5~6;6~92;6~7;590~640;-3357692~1869230;0~1;0~1;1
120;2550;2544~2550;2513~2519;2556~2563;0;0;0;0;7;4~5;5~6;8~10;385;-334615~-184615;0;0;0
121;2531~2538;2538;2500;2544~2550;0;0;0;0;6~7;4~5;5~6;9~10;355;-119230~0;0;0;0
122;2531;2531;2488;2575;0;0;0;0;7;5;6;9~11;355;0;0;0;0
123;2519~2525;2525;2488;2531~2538;0;0;0;0;7;4~5;5~6;8;345;0;0;0;0
124;2538;2531~2538;2494;2575~2581;0;0;0;0;8;4~5;5~6;9;355;0;0;0;0
125;2500~2506;2506;2444~2463;2513~2531;5;5;26~29;18~20;7~8;5;7~8;5~10;350~360;0~130769;0;0;0
126;2525~2531;2525~2538;2475~2481;2569;0;0;0;0;6~7;5;5~6;7;360~365;0~26923;0;0;0
127;2619~2625;2588~2631;2575~2588;2631;117~150;22~235;185;10;8~38;27~50;12~105;6~63;720~985;838461~3984615;0;0~1;3
128;2513~2519;2513~2519;2469;2519~2525;0;0;0;0;8~9;4~5;5~6;8;345;0;0;0;0
129;2594~2619;2606~2631;2575~2594;2594~2631;0;0;0;0;8~388;4~340;6~365;6~180;845~1045;-4900000~965384;0~1;0~1;0
130;2581~2588;2588~2594;2569;2631~2638;13~14;16;78~80;49~50;7;5;6~12;6~10;615~655;-3169230~-1734615;0;0;0
131;2519~2538;2525~2544;2500~2544;2588~2606;9~15;10~20;45~68;33~49;8~24;6~23;6~19;6~11;355~360;-61538~0;0~1;0;0
132;2544~2569;2525~2538;2506~2519;2588~2606;123~124;36~38;65~69;46~49;8~61;5~15;7~37;6~22;360~375;0~296153;0~1;0;1
133;2594~2600;2619~2625;2575~2581;2594~2600;142~143;227~228;5~6;6~7;8~33;21~52;8~17;9~13;835;-811538~669230;0~1;0~1;2
134;2519~2525;2525;2469;2563;0;0;0;0;6~7;4~5;5~6;5~7;360;0;0;0;0
135;2513;2513~2519;2456~2463;2525~2531;0;0;0;0;7~8;4~5;6;9~10;345~355;-57692~0;0;0;0
136;2581~2606;2581~2681;2550~2569;2625~2631;119~121;25~31;49~61;35~39;28~71;5~14;10~25;6~11;420~590;-1888461~542307;0~1;0;1
137;2506~2513;2506;2450~2456;2513~2519;0;0;2~3;1;7~8;4~5;5~6;8~9;345;0;0;0;0
138;2581~2588;2606~2619;2575~2581;2581~2594;2~4;3~5;13~35;10~16;22~112;6~38;15~55;8~17;680~755;1657692~3946153;0~1;0~1;3
139;2531~2538;2531~2544;2519~2538;2594~2619;15~16;19~20;71~73;51~52;7~8;4~5;5~6;9~10;355;0;0;0;0
140;2506;2500~2506;2444;2538~2544;1~3;1~3;10~15;6~10;8;5;5~6;5~7;355~360;19230~46153;0;0;0
141;2513~2519;2513~2519;2481~2494;2569~2581;11~12;13~14;54;39~40;7~8;5;6;6~11;355;-92307~0;0;0;0
