S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count
25.19,25.16,24.875,25.785,13.0,14.5,57.5,40.5,0.11,0.08,0.08,0.08,357.5,-0.017308,0.0,0.0,0
25.44,25.47,25.125,26.0,0.0,0.0,0.0,0.0,0.075,0.045,0.055,0.095,352.5,-0.142307,0.0,0.0,0
25.25,25.035,24.845,25.755,69.0,27.0,61.0,46.5,0.585,0.16,0.145,0.095,402.5,0.6211535,0.5,0.0,1
25.095,25.095,24.565,25.19,0.0,0.0,0.0,0.0,0.075,0.045,0.055,0.095,345.0,0.0,0.0,0.0,0
26.16,25.845,25.66,26.375,117.0,22.5,188.0,11.5,1.515,0.405,1.35,0.38,695.0,2.553846,0.5,0.5,2
25.47,25.41,25.035,25.655,0.0,0.0,0.0,0.0,0.065,0.045,0.055,0.085,365.0,-0.078846,0.0,0.0,0
25.28,25.345,24.97,25.595,0.0,0.0,0.0,0.0,0.135,0.045,0.06,0.085,350.0,-0.1461535,0.0,0.0,0
25.315,25.345,24.845,25.78,0.0,0.0,0.0,0.0,0.085,0.045,0.06,0.085,362.5,0.0,0.0,0.0,0
26.315,27.28,26.005,26.44,145.5,231.5,175.0,10.0,1.21,0.8,1.875,0.575,1080.0,2.2615385,0.5,0.5,3
25.19,25.25,24.69,25.53,0.0,0.0,0.0,0.0,0.065,0.045,0.055,0.065,357.5,-0.021154,0.0,0.0,0
25.25,25.315,24.755,25.505,0.0,0.0,0.0,0.0,0.08,0.045,0.06,0.105,350.0,0.0,0.0,0.0,0
25.47,25.47,25.125,26.005,0.0,0.0,0.0,0.0,0.08,0.045,0.07,0.1,352.5,0.1173075,0.0,0.0,0
25.905,26.03,25.595,26.0,0.0,0.0,0.0,0.0,0.365,0.08,0.115,0.08,895.0,-1.2788465,0.0,0.0,0
25.25,25.315,24.72,25.565,0.0,0.0,0.0,0.0,0.065,0.045,0.07,0.055,362.5,-0.026923,0.0,0.0,0
25.47,25.47,25.0,25.655,0.0,0.0,0.0,0.0,0.065,0.045,0.055,0.055,377.5,-0.0153845,0.0,0.0,0
